id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
108061,Walk to stores/parks/downtown. Fenced yard/Pets OK,320564,Lisa,,28801,35.6067,-82.55563,Entire home/apt,120,30,90,2021-12-19,0.67,2,310,1,
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,,28806,35.57864,-82.59578,Entire home/apt,100,1,369,2022-08-30,2.72,7,84,35,
156805,"Private Room ""Ader"" at BPS Hostel",746673,BonPaul,,28806,35.57864,-82.59578,Private room,66,1,67,2020-01-01,0.50,7,0,0,
156926,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",746673,BonPaul,,28806,35.57864,-82.59578,Shared room,30,1,315,2022-08-23,2.34,7,106,26,
197263,Tranquil Room & Private Bath,961396,Timo,,28806,35.57808,-82.63689,Private room,45,2,60,2022-08-21,0.49,2,70,22,
209068,Terrace Cottage,1029919,Kevin,,28804,35.61856,-82.55276,Entire home/apt,134,30,59,2022-08-16,0.44,1,318,2,
246315,Asheville Dreamer's Cabin,1292070,Annie,,28805,35.59635,-82.50655,Private room,68,7,57,2019-10-30,0.43,3,44,0,
259576,"Private, peaceful, and free goat therapy",1362726,Julia,,28805,35.61929,-82.48114,Entire home/apt,83,1,713,2022-09-12,5.43,1,129,113,
304379,Refocus Cottage - paradise,1566145,Gayle,,28804,35.64453,-82.52586,Entire home/apt,289,30,24,2019-08-03,0.19,2,348,0,
353092,Athena's Loft:  Find yourself here!,1788071,Beth,,28806,35.58217,-82.59997,Entire home/apt,88,2,520,2022-08-22,4.72,1,147,17,
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,,28803,35.49111,-82.48438,Entire home/apt,159,2,47,2021-11-21,0.39,1,337,1,
433646,Historic Arts and Craft Home,1931430,Ana,,28801,35.5759,-82.55912,Private room,134,2,113,2022-09-04,0.90,2,83,9,
436476,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN",478398,Heidi,,28801,35.60182,-82.56174,Entire home/apt,158,2,351,2022-08-21,2.80,3,59,29,
483384,"Romantic, Moroccan-Influenced Cottage",467421,Camille,,28803,35.56118,-82.57784,Entire home/apt,140,1,642,2022-09-05,6.62,1,316,88,
498089,Urban Getaway - Perfect Location,2164379,Anne Marie,,28801,35.61115,-82.54376,Entire home/apt,90,30,134,2022-01-31,1.07,1,97,3,
621243,The birdhouse.Sweet suite! Downtown Roof top deck!,3079174,Molly,,28801,35.60418,-82.54964,Entire home/apt,161,30,117,2022-09-05,2.14,1,161,22,
660702,Private Home 1 mile to downtown,3335271,Brady,,28804,35.621288,-82.553017,Entire home/apt,66,1,636,2022-08-28,7.93,1,328,91,
