pid,zipcode,own_occ,av_total,land_sf,yr_built,yr_remod,living_area,num_floors,structure_class,r_bldg_styl,r_roof_typ,r_ext_fin,r_total_rms,r_bdrms,r_full_bth,r_half_bth,r_bth_style,r_kitch,r_kitch_style,r_heat_typ,r_ac,r_fplace,r_ext_cnd,r_ovrall_cnd,r_int_cnd,r_int_fin,r_view,zip,Population,Pop_Density,Median_Income,City_State
10,2136,Y,321200,10288,1992,0,1681,1,R,RR,G,M,6,3,2,0,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
40,2124,Y,450500,3187,1900,2001,1868,2,R,CL,M,W,7,4,1,1,M,1,M,W,N,0,G,G,A,N,F,02124,47783,15913,48841,"Dorchester Center, MA"
70,2130,Y,794300,6007,1962,2001,2146,2,R,CL,G,M,8,3,2,1,S,1,S,W,N,2,G,G,G,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
80,2136,Y,342100,5500,1949,2002,1357,1.5,R,CP,G,M,6,3,1,1,S,1,S,F,N,1,G,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
90,2124,Y,444700,3026,1900,0,2346,2.5,R,CL,L,M,10,6,1,1,M,1,M,F,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
100,2131,Y,518500,4950,1900,2012,2032,2,R,CL,G,A,8,4,2,1,M,1,M,W,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
110,2132,Y,467200,7500,1887,0,1648,2,R,CL,G,M,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
120,2131,Y,432600,5000,1910,0,1772,2,R,CL,G,A,6,3,1,1,S,1,S,W,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
130,2136,Y,294900,6400,1933,0,1532,2,R,CL,H,M,8,4,1,0,S,1,M,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
140,2124,Y,329200,4449,1925,0,1224,2,R,CL,G,W,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
