Name,playerid,birth_date,PA_21,OBP_21,PA_20,OBP_20,PA_19,OBP_19,PA_18,OBP_18,PA_17,OBP_17,PA_16,OBP_16
Trayce Thompson,9952,1991-03-15,35,0.4,,,,,137.0,0.162,55.0,0.218,262.0,0.302
Mike Trout,10155,1991-08-07,146,0.466,241.0,0.39,600.0,0.43799999999999994,608.0,0.46,507.0,0.442,681.0,0.441
Bryce Harper,11579,1992-10-16,599,0.429,244.0,0.42,682.0,0.37200000000000005,695.0,0.39299999999999996,492.0,0.413,627.0,0.373
Chris Owings,10030,1991-08-12,50,0.42,44.0,0.318,196.0,0.209,309.0,0.272,386.0,0.299,466.0,0.315
Nick Fortes,21538,1996-11-11,34,0.353,,,,,,,,,,
Juan Soto,20123,1998-10-25,654,0.465,196.0,0.49,659.0,0.401,494.0,0.406,,,,
Vladimir Guerrero Jr.,19611,1999-03-16,698,0.401,243.0,0.32899999999999996,514.0,0.33899999999999997,,,,,,
Byron Buxton,14161,1993-12-18,254,0.358,135.0,0.267,295.0,0.314,94.0,0.183,511.0,0.314,331.0,0.284
Ronald Acuna Jr.,18401,1997-12-18,360,0.39399999999999996,202.0,0.406,715.0,0.365,487.0,0.366,,,,
Brandon Belt,10264,1988-04-20,381,0.37799999999999995,179.0,0.425,616.0,0.33899999999999997,456.0,0.342,451.0,0.355,655.0,0.39399999999999996
Jesse Winker,13590,1993-08-17,485,0.39399999999999996,183.0,0.38799999999999996,384.0,0.35700000000000004,334.0,0.405,137.0,0.375,,
Frank Schwindel,15351,1992-06-29,259,0.371,,,15.0,0.067,,,,,,
Fernando Tatis Jr.,19709,1999-01-02,546,0.364,257.0,0.366,372.0,0.379,,,,,,
Yasmani Grandal,11368,1988-11-08,375,0.42,194.0,0.35100000000000003,632.0,0.38,518.0,0.349,482.0,0.308,457.0,0.33899999999999997
Jose Siri,17452,1995-07-22,49,0.34700000000000003,,,,,,,,,,
Luis Robert,20043,1997-08-03,296,0.37799999999999995,227.0,0.302,,,,,,,,
Shohei Ohtani,19755,1994-07-05,639,0.37200000000000005,175.0,0.29100000000000004,425.0,0.34299999999999997,367.0,0.361,,,,
Kyle Schwarber,16478,1993-03-05,471,0.374,224.0,0.308,610.0,0.33899999999999997,510.0,0.35600000000000004,486.0,0.315,5.0,0.2
Joey Votto,4314,1983-09-10,533,0.375,223.0,0.354,608.0,0.35700000000000004,623.0,0.41700000000000004,707.0,0.45399999999999996,677.0,0.434
Nick Castellanos,11737,1992-03-04,585,0.36200000000000004,242.0,0.298,664.0,0.337,678.0,0.354,665.0,0.32,447.0,0.331
