"S.No","Company","Ticker","Date","Call","1-Day Change Recommendation","1-Week Change Recommendation","1-Month Change Recommendation","1-Year Change Recommendation","1-Day Change Benchmark","1-Week Change Benchmark","1-Month Change Benchmark","1-Year Change Benchmark"
1,"Lululemon Athletica ","LULU","27/3/2018","Positive Mention","2.0%","2.7%","15.4%","95%","-0.4%","1.4%","3%","10%"
2,"Penn National Gaming ","PENN","14/7/2020","Buy","10.3%","4.4%","52.5%","100%","-0.2%","1.6%","5%","37%"
3,"Simon Property Group ","SPG","13/11/2020","Buy","-1.2%","8.2%","10.6%","121%","0.4%","-1.4%","1%","31%"
4,"PVH Corp ","PVH","25/5/2016","Buy","-2.5%","3.8%","-9.4%","13%","0.0%","0.7%","-4%","18%"
5,"Broadcom ","AVGO","2/6/2016","Positive Mention","-1.9%","-1.1%","-7.0%","58%","0.0%","-0.1%","0%","18%"
6,"Oramed Pharmaceuticals ","ORMP","5/8/2021","Buy","-1.5%","-3.2%","3.0%","-52%","0.1%","0.8%","2%","-5%"
7,"Kohl's ","KSS","13/11/2020","Negative Mention","0.8%","18.4%","41.2%","126%","0.4%","-1.4%","1%","31%"
8,"Apple ","AAPL","30/7/2020","Buy","3.3%","4.8%","21.7%","38%","0.2%","2.5%","7%","36%"
9,"United Continental ","UAL","15/1/2019","Buy","-0.6%","-4.0%","2.3%","4%","0.1%","0.9%","6%","29%"
10,"Tesla ","TSLA","1/4/2021","Buy","-2.4%","-2.0%","-0.9%","66%","0.7%","1.3%","3%","14%"
11,"Tesla ","TSLA","7/2/2020","Buy","-3.6%","11.3%","-21.2%","460%","1.0%","0.6%","-18%","19%"
12,"Teladoc ","TDOC","5/8/2020","Buy","-1.6%","-9.6%","-9.2%","-30%","0.9%","0.7%","0%","34%"
13,"Darden Restaurants ","DRI","8/4/2020","Buy","-5.3%","-9.9%","14.9%","125%","0.2%","0.3%","5%","50%"
14,"Dropbox ","DBX","23/3/2018","Buy","0.0%","-1.4%","-4.4%","-28%","1.1%","-2.9%","1%","7%"
15,"SolarEdge Technologies ","SEDG","6/11/2020","Negative Mention","-8.4%","-1.8%","19.7%","50%","-2.6%","2.3%","4%","34%"
16,"FedEx ","FDX","15/9/2020","Buy","-1.1%","-3.5%","13.4%","4%","-0.8%","-4.4%","3%","34%"
17,"Simon Property Group ","SPG","15/5/2020","Negative Mention","3.8%","4.1%","30.7%","129%","0.7%","1.4%","4%","43%"
18,"Inovio Pharmaceuticals ","INO","21/4/2020","Buy","10.7%","17.3%","20.2%","-22%","0.3%","5.1%","6%","50%"
19,"Gap ","GPS","14/7/2020","Sell","5.5%","2.1%","20.0%","139%","-0.2%","1.6%","5%","37%"
20,"Fuelcell Energy ","FCEL","15/6/2020","Sell","-4.5%","-13.5%","18.5%","254%","-0.8%","0.2%","3%","37%"
21,"Revolve Group ","RVLV","19/12/2019","Buy","0.8%","-0.2%","7.0%","64%","0.1%","0.7%","3%","17%"
22,"U.S. Concrete ","USCR","8/4/2020","Negative Mention","1.5%","-16.9%","-9.6%","242%","0.2%","0.3%","5%","50%"
23,"Kite Pharma ","KITE","8/11/2016","Negative Mention","2.0%","1.0%","-7.5%",,"1.9%","0.7%","5%","22%"
24,"Enphase Energy ","ENPH","13/9/2019","Negative Mention","-1.3%","17.1%","6.4%","199%","0.1%","-0.2%","-1%","15%"
25,"Mattel ","MAT","21/10/2021","Buy","-5.8%","6.7%","9.4%","-4%","0.0%","1.4%","3%","-15%"
26,"First Data ","FDC","14/11/2018","Negative Mention","1.2%","-4.5%","-10.1%",,"1.6%","-3.6%","-6%","16%"
27,"The RealReal ","REAL","14/8/2019","Buy","1.6%","7.8%","8.2%","9%","-0.1%","2.7%","5%","21%"
28,"Qualtrics ","XM","20/10/2021","Buy","-2.6%","-0.5%","-24.9%","-77%","0.4%","1.0%","3%","-16%"
29,"Aspen Aerogels ","ASPN","9/2/2021","Buy","-3.6%","-7.5%","-14.2%","7%","-0.5%","0.6%","1%","17%"
30,"Texas Instruments ","TXN","25/7/2016","Buy","1.1%","-3.1%","-1.7%","19%","0.1%","-0.6%","0%","16%"
31,"Thermo Fisher Scientific ","TMO","16/3/2020","Positive Mention","-0.6%","-4.8%","11.0%","50%","3.2%","-3.2%","11%","60%"
32,"Airbnb ","ABNB","25/2/2021","Buy","6.3%","-12.9%","-11.6%","-27%","-1.0%","0.9%","4%","16%"
33,"Digi International Inc ","DGII","10/8/2020","Positive Mention","-6.2%","1.3%","3.3%","48%","-1.2%","1.8%","0%","35%"
34,"Aimmune Therapeutics ","AIMT","4/2/2020","Negative Mention","-3.3%","-3.7%","-31.9%",,"0.2%","1.4%","-11%","18%"
35,"PVH Corp ","PVH","23/8/2017","Buy","-0.8%","-0.8%","-1.4%","22%","-0.4%","1.4%","3%","20%"
36,"Howard Hughes ","HHC","11/6/2020","Sell","-4.0%","-5.5%","-11.4%","78%","-1.3%","1.9%","4%","42%"
37,"Levi Strauss ","LEVI","3/4/2020","Negative Mention","7.9%","26.4%","13.5%","123%","2.7%","4.1%","7%","56%"
38,"Zoom Video Communications ","ZM","27/2/2020","Buy","-13.3%","8.9%","43.7%","290%","2.6%","0.4%","-11%","34%"
39,"Smith & Wesson Brands ","SWBI","11/6/2020","Negative Mention","-10.5%","7.5%","20.7%","66%","-1.3%","1.9%","4%","42%"
40,"Unilever ","UL","18/1/2022","Positive Mention","1.1%","2.5%","4.5%",,"-1.4%","-4.1%","-4%","0%"
41,"Netflix ","NFLX","18/1/2017","Positive Mention","-2.5%","0.4%","3.0%","59%","-0.4%","1.5%","5%","27%"
42,"Clean Harbors ","CLH","6/11/2020","Buy","0.8%","4.6%","6.6%","54%","-2.6%","2.3%","4%","34%"
43,"Versum Materials ","VSM","19/5/2017","Buy","-1.6%","-2.3%","0.3%","24%","0.3%","0.8%","3%","16%"
44,"Fitbit ","FIT","2/8/2017","Sell","8.1%","-3.4%","0.5%","-7%","-0.1%","-1.3%","0%","17%"
