id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43366490,Miami Huge Heated Private Pool (winter),280056,Monique,,West Park,25.96367,-80.18432,Entire home/apt,307,3,33,2022-09-18,1.16,2,57,12,2208974900
25564658,Miami Private HOME to Explore South Florida,43677351,Matt,,West Park,25.95616,-80.17799,Entire home/apt,374,3,31,2022-09-05,0.60,2,361,13,2021066786
621066054586333393,"Better Choice for your Vacation! Two Convenient Units, Pool, Onsite Restaurant and Bar, Shop at Aventura Mall",25138314,RoomPicks By Antony,,Hallandale Beach,25.95554,-80.12043,Private room,268,2,0,,,13,86,0,
41829907,Listing that fits all of your vacation needs.,330607161,Anselm,,Miramar,25.95453,-80.23764,Entire home/apt,104,1,56,2022-08-31,1.75,1,122,25,
50178608,"2 Gorgeous Units! Pool, Restaurant, & Bar Onsite",25138314,RoomPicks By Antony,,Hallandale Beach,25.95506,-80.1206,Private room,294,2,0,,,13,86,0,
53733170,Stylish Miami Gardens Home near Hard Rock Stadium,435194261,James,,Miramar,25.9575,-80.22345,Entire home/apt,386,2,24,2022-07-31,2.60,1,254,24,
557137151899578971,"SEAWARD VILLAS, UNIT A, 2/2 OCEANFRONT PROPERTY",384374494,Sheena,,Lauderdale By The Sea,26.1853,-80.09526,Entire home/apt,549,4,11,2022-08-23,1.68,4,178,11,
49717537,☀ Relax In ✈ Miami With a Jacuzzi & ♨ BBQ Grill,325068958,Andy,,Miramar,25.95644,-80.25032,Entire home/apt,180,2,32,2022-09-05,2.38,2,80,30,
47716138,"SEAWARD VILLAS, UNIT B, 1/2 OCEANFRONT PROPERTY",384374494,Sheena,,Lauderdale By The Sea,26.18457,-80.09533,Entire home/apt,425,4,6,2022-09-06,0.33,4,160,5,
700227990624389203,Magical Ocean,475353275,Anzhelika,,Fort Lauderdale,26.16025,-80.09778,Entire home/apt,255,1,0,,,3,77,0,
28959549,Yacht Club at Aventura Cozy Lux  2 Bed 2 Bath New,69722538,Ana,,Hallandale Beach,25.95873,-80.12962,Entire home/apt,189,4,55,2022-08-14,1.15,16,66,19,
