id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6,Stay in the 1st house EVER posted on Airbnb,29,Sara,,North Hills,32.75522,-117.12873,Entire home/apt,371,2,153,2019-09-14,0.87,1,10,0,
29967,"Great home, 10 min walk to Beach",129123,Michael,,Pacific Beach,32.80751,-117.2576,Entire home/apt,310,4,89,2022-12-21,0.59,5,235,17,
38245,Point Loma: Den downstairs,164137,Melinda,,Roseville,32.74217,-117.21931,Private room,113,1,149,2022-07-24,1.00,3,357,3,
54001,"La Jolla Garden Cottage: Blks to Ocn; 2Bdms, 1Bath",252692,Marsha,,La Jolla,32.81301,-117.26856,Entire home/apt,258,5,301,2022-11-18,2.06,2,67,21,"tier_2, STR-05706L"
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80583,-117.24244,Entire home/apt,103,1,763,2022-12-04,5.20,3,300,68,
189785,"La Jolla/PB Ocean views! 
1 block to beach & surf.",915738,Jeff,,La Jolla,32.81041,-117.26637,Private room,126,31,43,2022-12-09,0.40,1,180,7,
62949,Pacific Beach Cozy Private Hideaway Bikes Included,21532,Chase,,Pacific Beach,32.80621,-117.23372,Entire home/apt,99,1,909,2022-12-10,7.22,2,145,86,
190225,LJ Village charming home with private pool & spa,918513,Paige,,La Jolla,32.84006,-117.26922,Entire home/apt,729,3,242,2022-11-25,1.87,1,189,46,"tier_3, STR-00288L"
184238,"OB studio, ocean views, hot tub & garage parking!",883704,Scott,,Loma Portal,32.74109,-117.24503,Entire home/apt,235,3,512,2022-12-20,3.70,1,303,64,"tier_2, STR-00049L"
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76347,-117.07753,Entire home/apt,76,31,11,2022-11-12,0.12,6,276,5,
203528,OLD TOWN CHARMER GUEST ROOM,975389,Irene,,Old Town,32.75033,-117.19283,Private room,106,3,2,2014-07-28,0.02,3,0,0,
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.74699,-117.14243,Private room,45,4,198,2022-11-26,1.42,2,45,3,
589214,MOST POPULAR LISTING WALK TO BAY DOWNTOWN PARK/ZOO,2315442,Michael,,Park West,32.72781,-117.16383,Private room,76,1,966,2022-12-03,7.73,10,4,94,
211583,"The Happy Little Cottage, just steps to sand...",1090651,J-Me & Clark,,Mission Bay,32.76757,-117.25103,Entire home/apt,224,3,214,2022-11-19,1.76,1,121,24,"tier_4, STR-03699L"
77785,"1 bdrm, shared space Ideal-Short Term Work Assign",417659,Alicia,,Old Town,32.749096,-117.191025,Private room,104,32,20,2022-09-10,0.34,1,104,3,
213653,Beautiful Ocean View & Torrey PInes Serenity,660996,Kathy,,Torrey Pines,32.92565,-117.24847,Entire home/apt,1070,5,50,2022-11-26,0.39,1,264,2,
589254,Hillcrest San Diego Balboa Park Bedroom Bathroom,1117966,John,,Midtown,32.74217,-117.16377,Private room,75,6,193,2021-06-27,1.88,2,53,0,
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74715,-117.1428,Private room,50,4,161,2022-06-30,1.12,2,43,2,
241210,Room for rent in North Park Home near DT San Diego,1265742,Debra,,North Hills,32.75819,-117.13749,Private room,80,1,90,2022-08-14,0.66,1,247,3,
103417,"La Jolla Retreat-Zen Lifestyle, More than a Room",252692,Marsha,,La Jolla,32.81321,-117.26853,Private room,63,4,238,2022-11-24,1.72,2,110,9,"tier_2, STR-51566L"
591575,Luxury Condo with Ocean Views,2919820,Karl,,La Jolla,32.82898,-117.27846,Entire home/apt,360,3,94,2022-11-07,1.17,2,18,19,"tier_3, STR-04232L"
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74779,-117.1648,Entire home/apt,193,1,84,2022-08-01,0.60,8,322,6,
597609,Vista Del Mar Two,2919820,Karl,,La Jolla,32.82901,-117.27849,Entire home/apt,408,3,98,2022-09-27,1.25,2,10,9,"tier_3, STR-04569L"
246264,Central San Diego At Your Doorstep One Bedroom,1291828,Tomio,,Linda Vista,32.79579,-117.17383,Entire home/apt,95,31,61,2022-10-01,0.52,7,293,1,
103841,"Tranquil, Private Bedroom/Bath in Carmel Valley",541128,Florence,,North City,32.95948,-117.23468,Private room,106,2,131,2022-10-30,0.93,1,32,16,
252289,Private oasis w/ jacuzzi,861840,Catherine,,Old Town,32.75259,-117.17599,Entire home/apt,223,2,414,2022-11-20,3.26,1,279,56,
108349,Felspar Townhome- Beach Living by Boardwalk & Pier,546519,Juliana,,Pacific Beach,32.79783,-117.25416,Entire home/apt,327,6,162,2022-06-28,1.18,2,0,2,
269843,Twin Corner Artist Retreat w/ Pool,766039,Pamela,,Bird Land,32.78175,-117.16045,Private room,83,5,78,2022-08-21,0.61,4,0,2,
273134,Master Bed/Bath Artist Retreat w/ Pool,766039,Pamela,,Bird Land,32.78175,-117.16045,Private room,116,4,67,2022-08-24,0.52,4,22,7,
599607,Backyard Treehouse Flat,2954330,Kim,,Midtown,32.74259,-117.17566,Entire home/apt,132,1,16,2022-11-16,0.57,1,347,6,
126344,"Tourmaline House - Steps to Beach, Pet-Friendly",546519,Juliana,,Pacific Beach,32.80751,-117.25728,Entire home/apt,395,6,189,2022-12-03,1.39,2,266,16,
602985,Quaint 1914 Beach Cottage,6627782,Sarah,,Ocean Beach,32.74566,-117.24986,Entire home/apt,197,3,227,2022-11-25,1.82,2,184,27,
279012,Tropical Home Near Beach w/ Hot Tub,1451027,Rebecca,,Loma Portal,32.73183,-117.2427,Entire home/apt,235,3,23,2019-08-06,0.18,1,85,0,
