ZIP_ID,Zip_Code,City_Name,Population_est,People__Sq_Mile,city_std,lat,lon
1,27109,"Winston Salem, North Carolina","1,640","17,437.56",Winston Salem,36.132547,-80.277512
2,28223,"Charlotte, North Carolina","3,265","7,150.18",Charlotte,35.301946,-80.734737
3,27601,"Raleigh, North Carolina","10,228","5,443.02",Raleigh,35.773377,-78.63433
4,27701,"Durham, North Carolina","25,096","4,581.77",Durham,35.999482,-78.899263
5,28205,"Charlotte, North Carolina","46,301","3,876.93",Charlotte,35.218791,-80.789601
6,27605,"Raleigh, North Carolina","4,191","3,817.69",Raleigh,35.789776,-78.655239
7,28212,"Charlotte, North Carolina","35,367","3,802.06",Charlotte,35.187703,-80.744556
8,27403,"Greensboro, North Carolina","22,330","3,740.47",Greensboro,36.065973,-79.824383
9,28209,"Charlotte, North Carolina","19,759","3,638.25",Charlotte,35.178714,-80.853985
10,27510,"Carrboro, North Carolina","14,241","3,582.32",Carrboro,35.905374,-79.081257
11,28207,"Charlotte, North Carolina","8,691","3,435.91",Charlotte,35.194148,-80.824585
12,28210,"Charlotte, North Carolina","40,857","3,268.97",Charlotte,35.129916,-80.856206
13,28543,"Tarawa Terrace, North Carolina","6,401","3,105.09",Tarawa Terrace,34.735136,-77.378478
14,28203,"Charlotte, North Carolina","10,162","3,052.82",Charlotte,35.208082,-80.85925
15,27609,"Raleigh, North Carolina","32,820","2,954.94",Raleigh,35.843765,-78.633643
16,28204,"Charlotte, North Carolina","4,900","2,894.13",Charlotte,35.214799,-80.827018
17,27608,"Raleigh, North Carolina","10,116","2,887.64",Raleigh,35.8103,-78.648658
18,28202,"Charlotte, North Carolina","5,032","2,756.00",Charlotte,35.227271,-80.844194
19,27401,"Greensboro, North Carolina","19,172","2,733.71",Greensboro,36.071484,-79.759449
20,28211,"Charlotte, North Carolina","27,757","2,482.16",Charlotte,35.166342,-80.797285
21,28305,"Fayetteville, North Carolina","6,087","2,467.70",Fayetteville,35.052609,-78.907244
22,28801,"Asheville, North Carolina","13,580","2,453.92",Asheville,35.592911,-82.55673
23,28226,"Charlotte, North Carolina","35,311","2,403.37",Charlotte,35.10265,-80.822144
24,27014,"Cooleemee, North Carolina",573,"2,379.51",Cooleemee,35.810044,-80.555743
25,27813,"Black Creek, North Carolina",360,"2,369.29",Black Creek,35.634599,-77.932425
26,28270,"Charlotte, North Carolina","25,941","2,245.80",Charlotte,35.114865,-80.761718
27,27511,"Cary, North Carolina","45,130","2,239.26",Cary,35.752273,-78.77768
28,27408,"Greensboro, North Carolina","17,072","2,233.40",Greensboro,36.103667,-79.813712
29,28304,"Fayetteville, North Carolina","36,056","2,180.89",Fayetteville,35.028031,-78.98764
30,27104,"Winston Salem, North Carolina","26,855","2,172.48",Winston Salem,36.095923,-80.321038
31,28403,"Wilmington, North Carolina","30,334","2,135.54",Wilmington,34.221684,-77.880633
32,27513,"Cary, North Carolina","37,119","2,046.46",Cary,35.805678,-78.797088
33,28314,"Fayetteville, North Carolina","47,879","2,043.85",Fayetteville,35.053108,-79.029617
34,27615,"Raleigh, North Carolina","40,424","2,043.38",Raleigh,35.898502,-78.63549
35,27260,"High Point, North Carolina","25,381","2,036.62",High Point,35.954936,-79.989888
36,28303,"Fayetteville, North Carolina","32,039","2,020.86",Fayetteville,35.085957,-78.95952
37,27707,"Durham, North Carolina","42,671","1,949.42",Durham,35.954525,-78.953317
38,28213,"Charlotte, North Carolina","25,882","1,907.01",Charlotte,35.286034,-80.734355
39,28206,"Charlotte, North Carolina","12,539","1,789.04",Charlotte,35.256127,-80.820999
40,27262,"High Point, North Carolina","23,853","1,785.32",High Point,35.962642,-80.041637
41,28208,"Charlotte, North Carolina","35,890","1,647.35",Charlotte,35.23043,-80.907493
42,27506,"Buies Creek, North Carolina","1,938","1,625.71",Buies Creek,35.407248,-78.739048
43,27606,"Raleigh, North Carolina","43,420","1,562.38",Raleigh,35.742323,-78.715478
44,27101,"Winston Salem, North Carolina","19,708","1,561.79",Winston Salem,36.111102,-80.200493
45,28159,"Spencer, North Carolina","3,055","1,551.71",Spencer,35.693824,-80.43528
46,28054,"Gastonia, North Carolina","33,363","1,549.71",Gastonia,35.265188,-81.147916
47,27607,"Raleigh, North Carolina","18,309","1,476.92",Raleigh,35.807507,-78.718084
48,27103,"Winston Salem, North Carolina","27,268","1,468.92",Winston Salem,36.058401,-80.319961
49,27604,"Raleigh, North Carolina","32,148","1,460.58",Raleigh,35.818501,-78.557712
50,27106,"Winston Salem, North Carolina","39,805","1,444.50",Winston Salem,36.14391,-80.323157
51,28109,"Misenheimer, North Carolina",460,"1,424.47",Misenheimer,35.489033,-80.294068
52,28269,"Charlotte, North Carolina","42,356","1,419.99",Charlotte,35.334508,-80.803461
53,28575,"Salter Path, North Carolina",134,"1,409.96",Salter Path,34.689314,-76.888048
54,27407,"Greensboro, North Carolina","43,084","1,399.08",Greensboro,36.008599,-79.87816
55,27405,"Greensboro, North Carolina","41,091","1,392.15",Greensboro,36.114409,-79.735752
56,27410,"Greensboro, North Carolina","45,459","1,370.25",Greensboro,36.120542,-79.893717
57,28215,"Charlotte, North Carolina","41,259","1,366.57",Charlotte,35.243457,-80.701067
58,28277,"Charlotte, North Carolina","33,905","1,360.39",Charlotte,35.053275,-80.816601
59,28519,"Bridgeton, North Carolina",316,"1,345.94",Bridgeton,35.122077,-77.021482
60,27202,"Altamahaw, North Carolina",24,"1,345.56",Altamahaw,36.18558,-79.506028
61,28017,"Boiling Springs, North Carolina","1,654","1,332.65",Boiling Springs,35.254868,-81.652345
62,27613,"Raleigh, North Carolina","36,460","1,313.22",Raleigh,35.920303,-78.715151
63,28330,"Cordova, North Carolina",324,"1,304.77",Cordova,34.909611,-79.821985
64,28217,"Charlotte, North Carolina","19,388","1,301.44",Charlotte,35.168896,-80.908285
65,28105,"Matthews, North Carolina","32,092","1,299.86",Matthews,35.119668,-80.713333
66,28726,"East Flat Rock, North Carolina","3,021","1,246.41",East Flat Rock,35.281157,-82.417476
67,28031,"Cornelius, North Carolina","13,544","1,242.90",Cornelius,35.47174,-80.887637
68,28032,"Cramerton, North Carolina","2,443","1,217.12",Cramerton,35.236709,-81.082613
69,27105,"Winston Salem, North Carolina","40,713","1,176.63",Winston Salem,36.161884,-80.239622
70,28619,"Drexel, North Carolina","1,162","1,170.02",Drexel,35.7606,-81.600189
71,28409,"Wilmington, North Carolina","26,376","1,085.30",Wilmington,34.152893,-77.865715
72,28601,"Hickory, North Carolina","46,176","1,063.22",Hickory,35.769702,-81.322587
73,28412,"Wilmington, North Carolina","23,510","1,047.30",Wilmington,34.138269,-77.915944
74,27616,"Raleigh, North Carolina","21,974","1,044.40",Raleigh,35.866967,-78.539038
75,27612,"Raleigh, North Carolina","27,178","1,026.60",Raleigh,35.859509,-78.734321
76,28227,"Charlotte, North Carolina","39,535","1,021.32",Charlotte,35.189404,-80.645488
77,28216,"Charlotte, North Carolina","29,763","1,011.51",Charlotte,35.309994,-80.887121
78,27705,"Durham, North Carolina","40,713","1,006.73",Durham,36.025937,-78.978858
79,28405,"Wilmington, North Carolina","24,968",990.53,Wilmington,34.263182,-77.86638
80,28428,"Carolina Beach, North Carolina","5,154",990.51,Carolina Beach,34.038168,-77.903523
81,27342,"Sedalia, North Carolina",30,980.23,Sedalia,36.075555,-79.629701
82,27610,"Raleigh, North Carolina","43,360",970.07,Raleigh,35.7444,-78.546278
83,28544,"Midway Park, North Carolina","6,371",959.33,Midway Park,34.73631,-77.309097
84,27282,"Jamestown, North Carolina","11,627",954.13,Jamestown,35.991898,-79.928684
85,28806,"Asheville, North Carolina","33,050",946.62,Asheville,35.576017,-82.612754
86,28083,"Kannapolis, North Carolina","20,209",936.87,Kannapolis,35.488337,-80.578541
87,27948,"Kill Devil Hills, North Carolina","9,201",928.78,Kill Devil Hills,36.012053,-75.681359
88,28557,"Morehead City, North Carolina","13,164",919.89,Morehead City,34.737281,-76.762079
89,27713,"Durham, North Carolina","30,903",915.99,Durham,35.89754,-78.926184
90,28088,"Landis, North Carolina","3,093",910.65,Landis,35.542685,-80.618829
91,28262,"Charlotte, North Carolina","18,168",883.42,Charlotte,35.322061,-80.739981
92,28077,"High Shoals, North Carolina",551,881.74,High Shoals,35.404549,-81.203093
93,28134,"Pineville, North Carolina","7,501",878.91,Pineville,35.083127,-80.892441
