years_experince,company_name,job_title,degree,predict_proba,predict_status,income_level
6.0,Facebook,Business Analyst,PHD,0.007324414495097149,0,< 200K
5.0,Facebook,Business Analyst,PHD,0.0064831361748327945,0,< 200K
1.0,Amazon,Business Analyst,Other,0.4043900614381426,0,< 200K
5.0,Facebook,Full-Stack Developer,Other,0.3959553964929995,0,< 200K
5.0,Facebook,Full-Stack Developer,Other,0.3959553964929995,0,< 200K
9.0,Facebook,Business Analyst,PHD,0.02165432064583544,0,< 200K
6.0,Amazon,Business Analyst,MS,0.16586840188983043,0,>= 200K
6.0,Facebook,Data Scientist,MS,0.009704664379836104,0,< 200K
5.0,Facebook,Full-Stack Developer,Other,0.3959553964929995,0,< 200K
9.0,Facebook,Full-Stack Developer,Other,0.4786017608694411,0,< 200K
6.0,Amazon,Business Analyst,Other,0.8555175333919135,1,>= 200K
13.0,Netflix,Data Scientist,PHD,0.9991811494720071,1,>= 200K
5.0,Facebook,Business Analyst,PHD,0.0064831361748327945,0,< 200K
6.0,Amazon,Full-Stack Developer,MS,0.16586840188983043,0,< 200K
5.0,Facebook,Full-Stack Developer,MS,0.30089428436781307,0,< 200K
13.0,Netflix,Data Scientist,PHD,0.9991811494720071,1,>= 200K
9.0,Facebook,Full-Stack Developer,PHD,0.02165432064583544,0,< 200K
7.0,Facebook,Business Analyst,MS,0.33976935186272045,0,>= 200K
7.0,Facebook,Full-Stack Developer,Other,0.4115023162214166,0,< 200K
7.0,Facebook,Data Scientist,MS,0.009037461022474708,0,< 200K
6.0,Facebook,Full-Stack Developer,Other,0.4042832469557409,0,< 200K
7.0,Facebook,Data Scientist,Other,0.010369032311892939,0,< 200K
12.0,Netflix,Full-Stack Developer,Bachelors,0.9986089137567811,1,>= 200K
5.0,Facebook,Business Analyst,PHD,0.0064831361748327945,0,< 200K
8.0,Facebook,Business Analyst,MS,0.36509769840123146,0,>= 200K
8.0,Facebook,Business Analyst,PHD,0.011504402275910508,0,< 200K
7.0,Amazon,Full-Stack Developer,MS,0.2385093468227313,0,< 200K
4.0,Facebook,Full-Stack Developer,Other,0.4153326578442989,0,< 200K
6.0,Facebook,Business Analyst,MS,0.32190984557352614,0,>= 200K
7.0,Facebook,Full-Stack Developer,PHD,0.008085297696977302,0,< 200K
6.0,Facebook,Business Analyst,Other,0.4042832469557409,0,>= 200K
5.0,Facebook,Business Analyst,PHD,0.0064831361748327945,0,< 200K
8.0,Facebook,Business Analyst,MS,0.36509769840123146,0,>= 200K
15.0,Amazon,Data Scientist,PHD,0.9956169675377643,1,>= 200K
9.0,Facebook,Full-Stack Developer,Other,0.4786017608694411,0,< 200K
12.0,Netflix,Full-Stack Developer,Bachelors,0.9986089137567811,1,>= 200K
16.0,Amazon,Full-Stack Developer,PHD,0.9925932852346809,1,>= 200K
6.0,Facebook,Business Analyst,PHD,0.007324414495097149,0,< 200K
8.0,Facebook,Business Analyst,PHD,0.011504402275910508,0,< 200K
11.0,Facebook,Business Analyst,PHD,0.21502551978765128,0,< 200K
6.0,Facebook,Business Analyst,PHD,0.007324414495097149,0,< 200K
4.0,Facebook,Data Scientist,Other,0.009965040673342277,0,< 200K
13.0,Netflix,Full-Stack Developer,PHD,0.998641911499253,1,>= 200K
7.0,Facebook,Business Analyst,PHD,0.008085297696977302,0,< 200K
6.0,Facebook,Full-Stack Developer,Other,0.4042832469557409,0,< 200K
6.0,Facebook,Business Analyst,PHD,0.007324414495097149,0,< 200K
7.0,Amazon,Full-Stack Developer,MS,0.2385093468227313,0,< 200K
