created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,retweeted_status,quoted_status,text,favorited_by,display_text_width,quoted_status_id,quoted_status_id_str,quoted_status_permalink,metadata,query,possibly_sensitive_appealable
Wed Aug 03 12:27:06 +0000 2022,1554806060552257500,1554806060552257536,"Primary victories in Arizona and Michigan for allies of Donald Trump reaffirmed his continued influence over the Republican Party, as the former president looks to install loyalists in key swing-state offices.
https://t.co/ka4NAvwkA9",FALSE,233,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,10,48,FALSE,FALSE,FALSE,en,,,"Primary victories in Arizona and Michigan for allies of Donald Trump reaffirmed his continued influence over the Republican Party, as the former president looks to install loyalists in key swing-state offices.
https://t.co/ka4NAvwkA9",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 12:25:05 +0000 2022,1554805551862775800,1554805551862775811,"President Biden is set to sign an executive order on Wednesday to help people cross state lines for abortions, the White House said. But the order is short on specifics, directing federal officials to sort out how the policy will work.
https://t.co/UVEXHE6QP5",FALSE,259,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,30,160,FALSE,FALSE,FALSE,en,,,"President Biden is set to sign an executive order on Wednesday to help people cross state lines for abortions, the White House said. But the order is short on specifics, directing federal officials to sort out how the policy will work.
https://t.co/UVEXHE6QP5",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 12:20:08 +0000 2022,1554804309577048e3,1554804309577048064,"The New York Times added about 180,000 net digital-only subscribers in the second quarter of the year but generated less digital advertising revenue, the company said. The Times now has 9.17 million paid subscribers.
https://t.co/MzTFJ0rBbX",FALSE,240,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,21,79,FALSE,FALSE,FALSE,en,,,"The New York Times added about 180,000 net digital-only subscribers in the second quarter of the year but generated less digital advertising revenue, the company said. The Times now has 9.17 million paid subscribers.
https://t.co/MzTFJ0rBbX",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 12:15:10 +0000 2022,1554803057006940200,1554803057006940161,"RT @tariqpanja: 🚨 ⚽️ 
“I am not a gambler”

Interviewed Joan Laporta about his audacious, high risk plan to revive financially stricken FC…",FALSE,139,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,85,0,FALSE,FALSE,NA,en,,,"RT @tariqpanja: 🚨 ⚽️ 
“I am not a gambler”

Interviewed Joan Laporta about his audacious, high risk plan to revive financially stricken FC…",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 12:00:18 +0000 2022,1554799317394854e3,1554799317394853889,"Abortion rights supporters won a huge victory in Kansas, one of the most conservative U.S. states, with voters rejecting a constitutional amendment that would have let legislators ban or significantly restrict abortion.

Here's a look at what happened. https://t.co/5bBVjOcAOS",FALSE,276,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,163,979,FALSE,FALSE,FALSE,en,,,"Abortion rights supporters won a huge victory in Kansas, one of the most conservative U.S. states, with voters rejecting a constitutional amendment that would have let legislators ban or significantly restrict abortion.

Here's a look at what happened. https://t.co/5bBVjOcAOS",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 11:44:06 +0000 2022,1554795241630310400,1554795241630310403,"“America’s determination to preserve democracy here in Taiwan and around the world remains ironclad,” Speaker Nancy Pelosi said during her trip to Taiwan, which took place amid heightened tensions with China.

Follow our updates.
https://t.co/JHI1yafM4L https://t.co/wjIN6XNWzT",FALSE,253,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,115,448,FALSE,FALSE,FALSE,en,,,"“America’s determination to preserve democracy here in Taiwan and around the world remains ironclad,” Speaker Nancy Pelosi said during her trip to Taiwan, which took place amid heightened tensions with China.

Follow our updates.
https://t.co/JHI1yafM4L https://t.co/wjIN6XNWzT",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 11:30:12 +0000 2022,1554791740132958200,1554791740132958213,"“I see new cars, old cars, everyone is coming in now with these rat problems,” said one mechanic in Manhattan of the increase in drivers experiencing rodent-related issues. “It brings me a lot of business but it’s disgusting.”
https://t.co/pijoZNMyVK",FALSE,250,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,28,118,FALSE,FALSE,FALSE,en,,,"“I see new cars, old cars, everyone is coming in now with these rat problems,” said one mechanic in Manhattan of the increase in drivers experiencing rodent-related issues. “It brings me a lot of business but it’s disgusting.”
https://t.co/pijoZNMyVK",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 11:15:08 +0000 2022,1554787948192829400,1554787948192829440,"In Opinion

“Taiwan will not be more secure or more prosperous as a result of this purely symbolic visit, and a lot of bad things could happen,” Thomas Friedman writes of Speaker Nancy Pelosi’s trip to Taiwan.
https://t.co/9wgYEEjqnR",FALSE,233,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,87,386,FALSE,FALSE,FALSE,en,,,"In Opinion

“Taiwan will not be more secure or more prosperous as a result of this purely symbolic visit, and a lot of bad things could happen,” Thomas Friedman writes of Speaker Nancy Pelosi’s trip to Taiwan.
https://t.co/9wgYEEjqnR",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 11:00:16 +0000 2022,1554784207213404200,1554784207213404160,"A 12-year-old girl who had been held captive was found walking along a road in rural Alabama on Monday after she escaped from a nearby home, which led the authorities to the grisly discovery of two decomposing bodies where she had been held. https://t.co/jZSaRHPPC0",FALSE,265,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,93,207,FALSE,FALSE,FALSE,en,,,"A 12-year-old girl who had been held captive was found walking along a road in rural Alabama on Monday after she escaped from a nearby home, which led the authorities to the grisly discovery of two decomposing bodies where she had been held. https://t.co/jZSaRHPPC0",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 10:28:03 +0000 2022,1554776102639489e3,1554776102639489029,"From @TheAthletic:

LeBron James, who will be 38 in December, wants to finish his career playing on the same team as his eldest son, Bronny, who will be eligible for the draft in 2024. There is a possible path. https://t.co/8ATggxAEmG",FALSE,234,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,23,133,FALSE,FALSE,FALSE,en,,,"From @TheAthletic:

LeBron James, who will be 38 in December, wants to finish his career playing on the same team as his eldest son, Bronny, who will be eligible for the draft in 2024. There is a possible path. https://t.co/8ATggxAEmG",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 10:15:06 +0000 2022,1554772840062361600,1554772840062361602,"The U.S. announced new sanctions on dozens of Russian companies and individuals. The targets include Alina Kabaeva, a former Olympic gymnast and member of the Russian Duma long believed to be President Vladimir Putin’s romantic partner.
https://t.co/vapnIbSVum",FALSE,260,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,48,182,FALSE,FALSE,FALSE,en,,,"The U.S. announced new sanctions on dozens of Russian companies and individuals. The targets include Alina Kabaeva, a former Olympic gymnast and member of the Russian Duma long believed to be President Vladimir Putin’s romantic partner.
https://t.co/vapnIbSVum",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 10:12:46 +0000 2022,1554772254499770400,1554772254499770368,"Breaking News: Speaker Nancy Pelosi left Taiwan after a trip that promised U.S. support and set up a possible military standoff with China.

Follow our updates.
https://t.co/OWa2XQwDjf",FALSE,184,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,98,320,FALSE,FALSE,FALSE,en,,,"Breaking News: Speaker Nancy Pelosi left Taiwan after a trip that promised U.S. support and set up a possible military standoff with China.

Follow our updates.
https://t.co/OWa2XQwDjf",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 10:00:23 +0000 2022,1554769136995209200,1554769136995209217,Voters in five U.S. states with major primary contests went to the polls on Tuesday. Here’s a rundown of some of the most important wins and losses so far. https://t.co/ym0f36qWrZ,FALSE,179,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,13,57,FALSE,FALSE,FALSE,en,,,Voters in five U.S. states with major primary contests went to the polls on Tuesday. Here’s a rundown of some of the most important wins and losses so far. https://t.co/ym0f36qWrZ,NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 09:45:07 +0000 2022,1554765294530433e3,1554765294530433024,"You’ve seen them out there — well-fed cats, sometimes with collars on, stalking the streets like they own them. Cat lovers find them charming. Wildlife conservationists and bird lovers see furry killers. https://t.co/9UeVnX7P5c",FALSE,227,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,46,158,FALSE,FALSE,FALSE,en,,,"You’ve seen them out there — well-fed cats, sometimes with collars on, stalking the streets like they own them. Cat lovers find them charming. Wildlife conservationists and bird lovers see furry killers. https://t.co/9UeVnX7P5c",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 09:27:05 +0000 2022,1554760756650016800,1554760756650016769,Here's a look at some of the highlights worth watching from late-night TV. https://t.co/z4efqdQhfi,FALSE,98,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,12,97,FALSE,FALSE,FALSE,en,,,Here's a look at some of the highlights worth watching from late-night TV. https://t.co/z4efqdQhfi,NA,NA,NA,NA,,NA,NA,NA
