created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quoted_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,text,favorited_by,scopes,display_text_width,retweeted_status,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-04-06T13:49:31Z,1643974216696443e3,1643974216696442880,"This is beyond party or partisanship. This degree of corruption is shocking - almost cartoonish. Thomas must be impeached.

Barring some dramatic change, this is what the Roberts court will be known for: rank corruption, erosion of democracy, and the stripping of human rights. https://t.co/t8fnGLVhbV",FALSE,277,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1643917645157216300,1643917645157216257,,,6063,32470,FALSE,FALSE,FALSE,en,"This is beyond party or partisanship. This degree of corruption is shocking - almost cartoonish. Thomas must be impeached.

Barring some dramatic change, this is what the Roberts court will be known for: rank corruption, erosion of democracy, and the stripping of human rights. https://t.co/t8fnGLVhbV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-06T01:50:20Z,1643793229052100600,1643793229052100613,If a petty HOA complaint were a person https://t.co/bJVorhQh8Y,FALSE,38,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1643774578655633400,1643774578655633409,,,2604,43692,FALSE,FALSE,FALSE,en,If a petty HOA complaint were a person https://t.co/bJVorhQh8Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-06T01:21:34Z,1643785991004598300,1643785991004598273,Wishing all our Jewish neighbors in NY-14 and beyond a joyous and meaningful Passover. Chag Sameach!,FALSE,100,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,310,5799,FALSE,FALSE,NA,en,Wishing all our Jewish neighbors in NY-14 and beyond a joyous and meaningful Passover. Chag Sameach!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-05T02:57:58Z,1643447859457544200,1643447859457544192,"He is publicly intimidating a judge and pointing a spotlight on their family to his supporters - many of whom have admitted in court to committing violence in his name.

He knows what he’s doing. https://t.co/HSeqCzeOa9",FALSE,195,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1643415687396831200,1643415687396831236,,,9453,80468,FALSE,FALSE,FALSE,en,"He is publicly intimidating a judge and pointing a spotlight on their family to his supporters - many of whom have admitted in court to committing violence in his name.

He knows what he’s doing. https://t.co/HSeqCzeOa9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-04T19:48:35Z,1643339805147779e3,1643339805147779072,Because nothing says “innocent” like threatening a judge’s family https://t.co/hk9fyvdflH,FALSE,65,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1643329049442369500,1643329049442369537,,,13456,117689,FALSE,FALSE,FALSE,en,Because nothing says “innocent” like threatening a judge’s family https://t.co/hk9fyvdflH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-04T16:39:30Z,1643292216830435300,1643292216830435328,Welcome to NYC! 🗽 Where there are still social consequences for shameless bigotry https://t.co/tjE4At3jmK,FALSE,81,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1643262036992721e3,1643262036992720897,,,4150,58624,FALSE,FALSE,FALSE,en,Welcome to NYC! 🗽 Where there are still social consequences for shameless bigotry https://t.co/tjE4At3jmK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-31T01:55:24Z,1641620175391805400,1641620175391805443,"Just one question, Governor: did you even see the indictment before sending this tweet? https://t.co/bAbjoPoYm7",FALSE,87,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1641582374411550700,1641582374411550720,,,2266,30593,FALSE,FALSE,FALSE,en,"Just one question, Governor: did you even see the indictment before sending this tweet? https://t.co/bAbjoPoYm7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-30T23:01:53Z,1641576509172334600,1641576509172334593,"Oh! Are we proposing trades now? If so, I’d be happy to offer McCarthy a spine in exchange for some gun safety legislation https://t.co/0ZZ7ALPWHG",FALSE,122,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1641483253772169200,1641483253772169229,,,4367,56722,FALSE,FALSE,FALSE,en,"Oh! Are we proposing trades now? If so, I’d be happy to offer McCarthy a spine in exchange for some gun safety legislation https://t.co/0ZZ7ALPWHG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-30T19:29:09Z,1641522973201907700,1641522973201907713,"You bet I did. NYC doesn’t play with bigots and transphobes and neither do I.

Have a great day! 🙂🏳️‍⚧️💕 https://t.co/yM2xMhAJ4H",FALSE,104,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1641519491791069200,1641519491791069200,,,16554,209264,FALSE,FALSE,FALSE,en,"You bet I did. NYC doesn’t play with bigots and transphobes and neither do I.

Have a great day! 🙂🏳️‍⚧️💕 https://t.co/yM2xMhAJ4H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-27T22:19:40Z,1640478721642582e3,1640478721642582017,“It’s déjà vu all over again” https://t.co/6zpF4vL9K0,FALSE,29,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1640220050245443600,1640220050245443585,,,413,3756,FALSE,FALSE,FALSE,fr,“It’s déjà vu all over again” https://t.co/6zpF4vL9K0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-23T23:35:00Z,1639048129407488e3,1639048129407488001,Last time they tried this someone pretended to be Eli Lilly and tanked their stock price by pretending insulin was free https://t.co/sKc26Km8YW,FALSE,119,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1639029459557679e3,1639029459557679104,,,5151,64708,FALSE,FALSE,FALSE,en,Last time they tried this someone pretended to be Eli Lilly and tanked their stock price by pretending insulin was free https://t.co/sKc26Km8YW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-21T21:49:30Z,1638296802532130800,1638296802532130816,Love it! Congrats on a great and fruitful year @CMCrystalHudson 🤗 https://t.co/kv0sxM4g7f,FALSE,65,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1638203818809729e3,1638203818809729024,,,147,1133,FALSE,FALSE,FALSE,en,Love it! Congrats on a great and fruitful year @CMCrystalHudson 🤗 https://t.co/kv0sxM4g7f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
