created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-04-07T04:10:16Z,1644190833288028200,1644190833288028161,"No, I will not take the L.

A misplaced acronym and a wrong date don’t invalidate the months of important work nearly a dozen journalists, including @ShellenbergerMD, @bariweiss and myself, put in so that the public could see the breadth of a state censorship program. (1/2) https://t.co/J2xRLZkdD5",FALSE,274,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1.6441874187093279e+18,1644187418709327875,,535,3839,FALSE,FALSE,FALSE,en,,"No, I will not take the L.

A misplaced acronym and a wrong date don’t invalidate the months of important work nearly a dozen journalists, including @ShellenbergerMD, @bariweiss and myself, put in so that the public could see the breadth of a state censorship program. (1/2) https://t.co/J2xRLZkdD5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-07T02:50:37Z,1644170787178307600,1644170787178307594,"The entire point of @mehdirhasan was that ethics required that I criticize Elon Musk on Modi, as if it were a given that I should, if I’m writing about U.S. speech. Meanwhile, he didn’t address MSNBC errors uncovered in the #TwitterFiles, as he grilled me about the TwitterFiles. https://t.co/WuAsNQQkrG",FALSE,279,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1644167071536754700,1644167071536754691,,319,2738,FALSE,FALSE,FALSE,en,,"The entire point of @mehdirhasan was that ethics required that I criticize Elon Musk on Modi, as if it were a given that I should, if I’m writing about U.S. speech. Meanwhile, he didn’t address MSNBC errors uncovered in the #TwitterFiles, as he grilled me about the TwitterFiles. https://t.co/WuAsNQQkrG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-07T02:36:43Z,1644167288264720400,1644167288264720384,"“I never wrote about Hunter Biden, so maybe you should apologize to me.” @mehdirhasan https://t.co/SbipbwwMMs https://t.co/MLJjrbqJso",FALSE,109,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1644145176808419300,1644145176808419330,,1299,8333,FALSE,FALSE,FALSE,en,,"“I never wrote about Hunter Biden, so maybe you should apologize to me.” @mehdirhasan https://t.co/SbipbwwMMs https://t.co/MLJjrbqJso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-07T02:19:02Z,1644162837302898700,1644162837302898690,"We’ve got a video coming out of MSNBC falling for the Hamilton 68 fraud over 100 times, but even that pales in comparison to broader errors about the Steele dossier, the Nunes memo, “more than circumstantial” evidence of collusion, and more: https://t.co/1ZhTj8R4M1 https://t.co/gvp9Fjechx",FALSE,265,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1644160839715283e3,1644160839715282945,,1513,7398,FALSE,FALSE,FALSE,en,,"We’ve got a video coming out of MSNBC falling for the Hamilton 68 fraud over 100 times, but even that pales in comparison to broader errors about the Steele dossier, the Nunes memo, “more than circumstantial” evidence of collusion, and more: https://t.co/1ZhTj8R4M1 https://t.co/gvp9Fjechx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-07T01:59:55Z,1644158027891716e3,1644158027891716100,"“I never said a word about the Hunter Biden story,” says stickler-for-facts @mehdirhasan. But he did: https://t.co/Xqtd7FqNL5 https://t.co/SbipbwwMMs",FALSE,125,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1644145176808419300,1644145176808419330,,1266,6839,FALSE,FALSE,FALSE,en,,"“I never said a word about the Hunter Biden story,” says stickler-for-facts @mehdirhasan. But he did: https://t.co/Xqtd7FqNL5 https://t.co/SbipbwwMMs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-07T01:51:56Z,1644156019608625200,1644156019608625152,As opposed to Malcolm Nance? https://t.co/eBLxM4bcKh,FALSE,28,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1644154870662942700,1644154870662942721,,233,2426,FALSE,FALSE,FALSE,en,,As opposed to Malcolm Nance? https://t.co/eBLxM4bcKh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-07T01:39:25Z,1644152867299680300,1644152867299680263,"Here’s @mehdirhasan justifying a deliberate intelligence deception - that the @nypost Hunter Biden story was Russian disinformation. MSNBC offended twice, reporting it and employing signatories to the infamous intel community open letter, like Jeremy Bash and John Brennan. https://t.co/1BrRPLKJZS https://t.co/wGqiXhD7EH",FALSE,297,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1644150814003417e3,1644150814003417089,,1749,8267,FALSE,FALSE,FALSE,en,,"Here’s @mehdirhasan justifying a deliberate intelligence deception - that the @nypost Hunter Biden story was Russian disinformation. MSNBC offended twice, reporting it and employing signatories to the infamous intel community open letter, like Jeremy Bash and John Brennan. https://t.co/1BrRPLKJZS https://t.co/wGqiXhD7EH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-07T01:25:22Z,164414933263804e4,1644149332638040068,"Regarding the 22 million tweets, here is an explanation from former State Department official and cybersecurity analyst Mike Benz: https://t.co/LGAiyr4Ueu",FALSE,130,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,164411135670929e4,1644111356709289993,,896,2989,FALSE,FALSE,FALSE,en,,"Regarding the 22 million tweets, here is an explanation from former State Department official and cybersecurity analyst Mike Benz: https://t.co/LGAiyr4Ueu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-07T01:12:22Z,1644146060909052e3,1644146060909051907,"Also today: I was given a hard time for saying it was an “honor” to speak to congress. @mehdirhasan said it wouldn’t have been an honor to speak to the House Un-American Affairs Committee, incredible given it was clearly Democrats who acted like HUAC members that day.",FALSE,268,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,633,5158,FALSE,FALSE,NA,en,,"Also today: I was given a hard time for saying it was an “honor” to speak to congress. @mehdirhasan said it wouldn’t have been an honor to speak to the House Un-American Affairs Committee, incredible given it was clearly Democrats who acted like HUAC members that day.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-07T00:46:20Z,1644139508118573e3,1644139508118573061,"I don’t need to address his issue. I’m responsible for the things I write and cover. The “What about Modi”? questions were an attempt to get me to participate in deflecting attention from my own reporting. If he wanted to engage in that material, that’s one thing, but he didn’t. https://t.co/fPFMtLZGAk",FALSE,279,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1644138556003065900,1644138556003065857,,260,2539,FALSE,FALSE,FALSE,en,,"I don’t need to address his issue. I’m responsible for the things I write and cover. The “What about Modi”? questions were an attempt to get me to participate in deflecting attention from my own reporting. If he wanted to engage in that material, that’s one thing, but he didn’t. https://t.co/fPFMtLZGAk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
