address_1,address_2,city,state,postal_code,phone_number,restaurant_open_date,facility_type,permitid,x,y,geocode_status,geo_shape,geo_point_2d,BIZ_ID,biz_name,NAME_SENTIMENT,HEALTH_SCORE,NAME_SENTIMENT_CONFIDENCE
1235 HURRICANE ALLEY WAY,NA,RALEIGH,NC,27607,(919) 851-6203,2009-04-09,Restaurant,10916,-78.72554803,35.79896875,M,"{""coordinates"": [-78.72555066249933, 35.798975832368136], ""type"": ""Point""}","35.798975832368136, -78.72555066249933",04092015369,BACKYARD BISTRO,very positive,92.5,0.3260405
3309 ROGERS RD,STE 245,WAKE FOREST,NC,27587,(919) 602-8011,2009-06-02,Restaurant,11018,-78.51539151,35.95074547,M,"{""coordinates"": [-78.51539409272745, 35.95075258665936], ""type"": ""Point""}","35.95075258665936, -78.51539409272745",04092015422,SHUCKERS OYSTER BAR & GRILL,positive,98,0.34882563
1506 US 70 HWY W,NA,GARNER,NC,27529,(919) 662-5119,2009-08-12,Restaurant,11063,-78.64623698,35.72377502,M,"{""coordinates"": [-78.64623958705387, 35.72378208932066], ""type"": ""Point""}","35.72378208932066, -78.64623958705387",04092015443,MOONRUNNERS SALOON,very positive,95.5,0.37397787
1417 E WILLIAMS ST,NA,APEX,NC,27539-7700,(919) 363-9137,2010-04-28,Restaurant,11166,-78.83789634,35.71142477,M,"{""coordinates"": [-78.8378990025741, 35.71143182665245], ""type"": ""Point""}","35.71143182665245, -78.8378990025741",04092015610,WAFFLE HOUSE #1302,positive,95,0.26635027
1102 WALNUT ST,NA,CARY,NC,27511-4735,(919) 439-5030,2010-06-30,Restaurant,11181,-78.76331735,35.77087984,M,"{""coordinates"": [-78.76332000053306, 35.77088691635001], ""type"": ""Point""}","35.77088691635001, -78.76332000053306",04092015656,ON THE BORDER,positive,95,0.27161977
5500 ATLANTIC SPRINGS  RD,STE 109,RALEIGH,NC,27616,(919) 873-0200,2010-06-18,Restaurant,11179,-78.59668816,35.85752173,M,"{""coordinates"": [-78.59669075717962, 35.85752882701181], ""type"": ""Point""}","35.85752882701181, -78.59669075717962",04092015648,JAMAICAN GRILLE,neutral,99,0.2511317
324 VILLAGE WALK DR,NA,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009-09-10,Food Stand,11232,-78.8388169,35.64062852,M,"{""coordinates"": [-78.83881956202109, 35.64063555893885], ""type"": ""Point""}","35.64063555893885, -78.83881956202109",04092021583,HARRIS TEETER #311 PRODUCE,very positive,96,0.33397982
324 VILLAGE WALK DR,NA,HOLLY SPRINGS,NC,27502,(919) 552-1596,2009-09-10,Meat Market,11234,-78.8388169,35.64062852,M,"{""coordinates"": [-78.83881956202109, 35.64063555893885], ""type"": ""Point""}","35.64063555893885, -78.83881956202109",04092300243,HARRIS TEETER #311 MEAT MARKET,positive,98.5,0.2945372
3202 NORTHAMPTON ST,NA,RALEIGH,NC,27609,(919) 881-4940,2009-09-14,Public School Lunchrooms,11238,-78.65044006,35.82537533,M,"{""coordinates"": [-78.65044267080697, 35.825382419476355], ""type"": ""Point""}","35.825382419476355, -78.65044267080697",04092110486,ROOT ELEMENTARY CAFETERIA,positive,98.5,0.3022987
600 E BROAD ST,NA,FUQUAY-VARINA,NC,27526,(919) 552-8826,2009-10-07,Restaurant,11289,-78.79392968,35.59278922,M,"{""coordinates"": [-78.79393232615008, 35.59279625701019], ""type"": ""Point""}","35.59279625701019, -78.79393232615008",04092015485,AVIATOR BREWING TAP HOUSE,very positive,94,0.41404334
10410-103 MONCREIFFE  RD,NA,RALEIGH,NC,27617,(919) 361-5370,2009-10-22,Restaurant,11297,-78.79210026,35.89996606,M,"{""coordinates"": [-78.79210292244547, 35.89997316171332], ""type"": ""Point""}","35.89997316171332, -78.79210292244547",04092015493,ZAYKA INDIAN CUISINE,neutral,94,0.26809224
437 FAYETTEVILLE ST,NA,RALEIGH,NC,27601,(919) 754-0101,2009-12-01,Food Stand,11336,-78.63936489,35.77440851,M,"{""coordinates"": [-78.63936750018618, 35.77441558688331], ""type"": ""Point""}","35.77441558688331, -78.63936750018618",04092021598,JIMMY JOHN'S #1025,very positive,94.5,0.37069654
200 HOSPICE CIR,NA,RALEIGH,NC,27607,(919) 828-8514,2009-12-14,Institutional Food Service,11345,-78.74158227,35.80732092,M,"{""coordinates"": [-78.74158491604437, 35.807327999741794], ""type"": ""Point""}","35.807327999741794, -78.74158491604437",04092160074,TRANSITIONS LIFECARE,very positive,100,0.38352284
1301 KILDAIRE FARM RD,NA,CARY,NC,27511,(919) 469-1835,2009-12-11,Restaurant,11350,-78.78262718,35.76147493,M,"{""coordinates"": [-78.78262983525833, 35.761481999420695], ""type"": ""Point""}","35.761481999420695, -78.78262983525833",04092015537,IHOP,very positive,97,0.31614348
301  W CENTER ST,NA,HOLLY SPRINGS,NC,27540,(919) 285-2142,2010-01-29,Restaurant,11418,-78.83406226,35.65096454,M,"{""coordinates"": [-78.83406491872708, 35.65097158670585], ""type"": ""Point""}","35.65097158670585, -78.83406491872708",04092015567,MY WAY TAVERN,very positive,97,0.4747097
120-100 ST ALBANS  DR,NA,RALEIGH,NC,27609,(919) 781-4165,2010-02-03,Restaurant,11419,-78.63883981,35.83739883,M,"{""coordinates"": [-78.63884242536038, 35.837405916489686], ""type"": ""Point""}","35.837405916489686, -78.63884242536038",04092015568,HARRIS TEETER #422 DELI,positive,96.5,0.27505156
120-100 ST ALBANS DR,NA,RALEIGH,NC,27607,(919) 781-4165,2010-02-03,Food Stand,11422,-78.63883981,35.83739883,M,"{""coordinates"": [-78.63884242536038, 35.837405916489686], ""type"": ""Point""}","35.837405916489686, -78.63884242536038",04092021605,HARRIS TEETER #422 PRODUCE,very positive,98,0.30516624
3622 ROGERS RD,NA,WAKE FOREST,NC,27587,(919) 556-7800,2010-04-09,Restaurant,11486,-78.50482784,35.94464405,M,"{""coordinates"": [-78.50483041344114, 35.94465117361742], ""type"": ""Point""}","35.94465117361742, -78.50483041344114",04092015607,IL BACIO,very positive,95.5,0.25138503
840 E CHATHAM ST,NA,CARY,NC,27511,(919) 467-7030,2010-04-19,Restaurant,11520,-78.76021378,35.79096843,M,"{""coordinates"": [-78.76021642457408, 35.7909755027135], ""type"": ""Point""}","35.7909755027135, -78.76021642457408",04092015625,BOJANGLES #42,very positive,98.5,0.21488604
750 SE CARY PKY,NA,CARY,NC,27511,(919) 460-7330,2010-05-14,Restaurant,11543,-78.77481851,35.74902684,M,"{""coordinates"": [-78.7748211623987, 35.749033910257204], ""type"": ""Point""}","35.749033910257204, -78.7748211623987",04092015636,WALTONWOOD AT CARY DINING,positive,99,0.36839426
4 FENTON ST,NA,RALEIGH,NC,27604,(919) 834-1813,2010-05-25,Food Stand,11564,-78.62094723,35.80309992,M,"{""coordinates"": [-78.62094983810398, 35.80310699992042], ""type"": ""Point""}","35.80310699992042, -78.62094983810398",04092021613,"SALTWATER SEAFOOD, LLC",very positive,99,0.362752
8001 ARCO CORPORATE  DR,NA,RALEIGH,NC,27617,(919) 572-2200,2010-06-02,Restaurant,11550,-78.77639968,35.90726649,M,"{""coordinates"": [-78.77640233798255, 35.90727358663842], ""type"": ""Point""}","35.90727358663842, -78.77640233798255",04092015642,EMBASSY SUITES AND FLYING SPOONS,very positive,97,0.47110337
1040 TRYON VILLAGE DR,STE 601,CARY,NC,27518,(919) 851-9173,2010-05-04,Restaurant,11573,-78.7446922,35.74631027,M,"{""coordinates"": [-78.74469483518695, 35.74631733506105], ""type"": ""Point""}","35.74631733506105, -78.74469483518695",04092015654,CRAFT PUBLIC HOUSE,positive,98,0.40089434
12600 CAPITAL BLVD,NA,WAKE FOREST,NC,27587,(919) 556-1007,2010-07-21,Restaurant,11621,-78.53167158,35.98839296,M,"{""coordinates"": [-78.53167417026324, 35.98840008981966], ""type"": ""Point""}","35.98840008981966, -78.53167417026324",04092015682,OLIVE GARDEN #1831,positive,97,0.31394115
8470-102 HONEYCUTT RD,NA,RALEIGH,NC,27615,(919) 890-5340,2010-11-12,Restaurant,11766,-78.62166264,35.89510631,M,"{""coordinates"": [-78.62166525412478, 35.895113413624664], ""type"": ""Point""}","35.895113413624664, -78.62166525412478",04092015820,VILLAGE GRILL,positive,96.5,0.34524587
13200 NEW FALLS OF NEUSE RD,UNIT 131,RALEIGH,NC,27614,(919) 554-7561,2010-12-22,Restaurant,11827,-78.55982173,35.94075522,M,"{""coordinates"": [-78.559824326818, 35.940762335092955], ""type"": ""Point""}","35.940762335092955, -78.559824326818",04092015852,BANGKOK THAI,very positive,97,0.26668006
225 HILLSBOROUGH ST,NA,RALEIGH,NC,27603,(919) 865-5938,2011-01-06,Restaurant,11836,-78.64278081,35.78010542,M,"{""coordinates"": [-78.6427834189653, 35.78011250273875], ""type"": ""Point""}","35.78011250273875, -78.6427834189653",04092015857,JAVA CITY @ CAMPBELL LAW SCHOOL,positive,95,0.3152203
900 S MAIN ST,NA,ROLESVILLE,NC,27571,(919) 453-6241,2011-01-07,Restaurant,11845,-78.47826834,35.9096683,M,"{""coordinates"": [-78.47827091037082, 35.90967541327155], ""type"": ""Point""}","35.90967541327155, -78.47827091037082",04092015860,BOJANGLES #45,very positive,98,0.23863333
2400 JOHN BRANTLEY  BLVD,RDU TERMINAL 2,MORRISVILLE,NC,27560,(919) 840-4378,2011-01-20,Restaurant,11842,-78.7893961,35.86970016,M,"{""coordinates"": [-78.78939875755906, 35.869707251238914], ""type"": ""Point""}","35.869707251238914, -78.78939875755906",04092015867,JASON'S DELI #890,positive,95,0.32808214
12345 STRICKLAND RD,NA,RALEIGH,NC,27613,(919) 846-3589,2011-01-20,Food Stand,11860,-78.70279728,35.90556515,M,"{""coordinates"": [-78.70279991963797, 35.905572251922365], ""type"": ""Point""}","35.905572251922365, -78.70279991963797",04092021644,FOOD LION #2199 MEAT MARKET/SEAFOOD,very positive,98.5,0.29250646
8031 OLD WAKE FOREST RD,NA,RALEIGH,NC,27616,(919) 424-6235,2011-01-20,Food Stand,11868,-78.56666615,35.86808882,M,"{""coordinates"": [-78.56666874231556, 35.86809591632463], ""type"": ""Point""}","35.86809591632463, -78.56666874231556",04092021647,WALMART #4484 DELI,very positive,97,0.33518577
7713 LEAD MINE RD,STE 15,RALEIGH,NC,27615-4805,(919) 846-1988,2011-01-27,Restaurant,11870,-78.6604412,35.88617756,M,"{""coordinates"": [-78.66044382329112, 35.8861846584724], ""type"": ""Point""}","35.8861846584724, -78.66044382329112",04092015871,IMPERIAL GARDEN CHINESE RESTAURANT,very positive,92,0.39447606
8745 HOLLY SPRINGS RD,NA,CARY,NC,27539,(919) 362-1738,2011-01-25,Food Stand,11911,-78.77345985,35.69264269,M,"{""coordinates"": [-78.77346249748932, 35.69264974901359], ""type"": ""Point""}","35.69264974901359, -78.77346249748932",04092021648,FOOD LION #2198 DELI/BAKERY,very positive,99.5,0.32137954
525 BROAD  ST,NA,FUQUAY-VARINA,NC,27526,(919) 567-2337,2011-02-18,Restaurant,12114,-78.79375985,35.59327288,M,"{""coordinates"": [-78.79376249994603, 35.59327991057672], ""type"": ""Point""}","35.59327991057672, -78.79376249994603",04092015891,AVIATOR SMOKEHOUSE,very positive,96,0.29274666
7315 SIX FORKS RD,NA,RALEIGH,NC,27615-6162,(919) 847-8855,2011-04-27,Food Stand,12121,-78.64725788,35.88068773,M,"{""coordinates"": [-78.64726049958553, 35.88069482645937], ""type"": ""Point""}","35.88069482645937, -78.64726049958553",04092021670,DOMINO'S #5504,very positive,96,0.56904143
421 CHAPANOKE ROAD,STE. 162,RALEIGH,NC,27603,(919) 772-8868,2011-05-27,Restaurant,12186,-78.65333672,35.73464526,M,"{""coordinates"": [-78.65333932908433, 35.734652328935994], ""type"": ""Point""}","35.734652328935994, -78.65333932908433",04092015966,JIN JIN CHINA,neutral,97.5,0.2477851
2648 TIMBER DR,NA,GARNER,NC,27529,(919) 662-1115,2011-04-28,Restaurant,12194,-78.63679232,35.71605085,M,"{""coordinates"": [-78.63679492442816, 35.716057910693706], ""type"": ""Point""}","35.716057910693706, -78.63679492442816",04092015951,MOJO'S GRILL,very positive,94.5,0.35244703
929 HERITAGE LAKE  RD,SUITE 700,WAKE FOREST,NC,27587,(919) 453-6284,2011-05-24,Restaurant,12206,-78.50377685,35.94688497,M,"{""coordinates"": [-78.50377942487034, 35.946892089617116], ""type"": ""Point""}","35.946892089617116, -78.50377942487034",04092015967,CHARLIE'S KABOBS #2,very positive,98,0.46466488
3177 CAPITAL  BLVD,NA,RALEIGH,NC,27604,(919) 790-2696,2011-06-02,Restaurant,12213,-78.58860915,35.82363017,M,"{""coordinates"": [-78.58861174899457, 35.82363725751134], ""type"": ""Point""}","35.82363725751134, -78.58861174899457",04092015971,TACOS Y MARISCOS VALLARTA,positive,93.5,0.25182307
4821 GROVE BARTON  RD,STE 101,RALEIGH,NC,27613,(919) 785-0043,2011-06-01,Restaurant,12217,-78.71709244,35.87043723,M,"{""coordinates"": [-78.71709507827347, 35.87044432970537], ""type"": ""Point""}","35.87044432970537, -78.71709507827347",04092015975,LYNNWOOD GRILL,positive,95,0.30983976
